trades,net_r,pf,win_rate,avg_r,tag,month
97,-19.1968,0.7270479437738784,0.4227,-0.1979,bos_short_rr1.5_sl1.0_h12_b0.1,2026-06
4,-0.1364,0.9433319484835895,0.5,-0.0341,bos_short_rr1.5_sl1.0_h12_b0.1,2026-07
48,-16.5746,0.5689445322902796,0.3958,-0.3453,bos_short_rr1.5_sl1.0_h12_b0.2,2026-04
91,-30.8218,0.5765968728793303,0.3846,-0.3387,bos_short_rr1.5_sl1.0_h12_b0.2,2026-05
91,-19.8967,0.7025112810284351,0.4176,-0.2186,bos_short_rr1.5_sl1.0_h12_b0.2,2026-06
4,-0.1364,0.9433319484835895,0.5,-0.0341,bos_short_rr1.5_sl1.0_h12_b0.2,2026-07
54,-18.9954,0.5505079307235972,0.4074,-0.3518,bos_short_rr1.5_sl1.0_h6_b0.1,2026-04
93,-28.3242,0.5942609036956605,0.3978,-0.3046,bos_short_rr1.5_sl1.0_h6_b0.1,2026-05
99,-22.8412,0.6732032128560024,0.4343,-0.2307,bos_short_rr1.5_sl1.0_h6_b0.1,2026-06
5,1.7744,2.3249701314217446,0.8,0.3549,bos_short_rr1.5_sl1.0_h6_b0.1,2026-07
49,-16.7332,0.5533072434210176,0.4082,-0.3415,bos_short_rr1.5_sl1.0_h6_b0.2,2026-04
92,-28.3376,0.5924318804519011,0.3913,-0.308,bos_short_rr1.5_sl1.0_h6_b0.2,2026-05
93,-23.7676,0.6423655312092785,0.4194,-0.2556,bos_short_rr1.5_sl1.0_h6_b0.2,2026-06
5,1.759,2.31347072879331,0.8,0.3518,bos_short_rr1.5_sl1.0_h6_b0.2,2026-07
54,-19.3738,0.6035742932442829,0.3519,-0.3588,bos_short_rr2.0_sl0.8_h12_b0.1,2026-04
95,-33.7672,0.6057550294628273,0.3368,-0.3554,bos_short_rr2.0_sl0.8_h12_b0.1,2026-05
97,-25.323,0.697090040443019,0.3608,-0.2611,bos_short_rr2.0_sl0.8_h12_b0.1,2026-06
4,0.5795,1.2309961334555746,0.5,0.1449,bos_short_rr2.0_sl0.8_h12_b0.1,2026-07
49,-18.4048,0.5898368466679592,0.3469,-0.3756,bos_short_rr2.0_sl0.8_h12_b0.2,2026-04
93,-31.7213,0.6196801463667875,0.3441,-0.3411,bos_short_rr2.0_sl0.8_h12_b0.2,2026-05
92,-30.994,0.6231356803961002,0.337,-0.3369,bos_short_rr2.0_sl0.8_h12_b0.2,2026-06
4,0.5795,1.2309961334555746,0.5,0.1449,bos_short_rr2.0_sl0.8_h12_b0.2,2026-07
