entry_ts,exit_ts,r,side,pair,mode,side_sleeve,cost
1763103600.0,1763118000.0,1.9137,short,EURJPY,standard_00_50,short,stress
1763474400.0,1763488800.0,-1.4648,short,EURJPY,standard_00_50,short,stress
1763553600.0,1763586000.0,-1.4533,short,EURJPY,standard_00_50,short,stress
1764133200.0,1764140400.0,-1.4654,short,EURJPY,standard_00_50,short,stress
1764766800.0,1764774000.0,1.8921,short,EURJPY,standard_00_50,short,stress
1764946800.0,1765173600.0,-1.4889,short,EURJPY,standard_00_50,short,stress
1765234800.0,1765238400.0,-1.6019,short,EURJPY,standard_00_50,short,stress
1765551600.0,1765764000.0,1.9242,short,EURJPY,standard_00_50,short,stress
1766124000.0,1766127600.0,-1.4152,short,EURJPY,standard_00_50,short,stress
1766394000.0,1766455200.0,2.0995,short,EURJPY,standard_00_50,short,stress
1767974400.0,1768183200.0,-1.5048,short,EURJPY,standard_00_50,short,stress
1768201200.0,1768233600.0,-1.6,short,EURJPY,standard_00_50,short,stress
1768352400.0,1768377600.0,1.9367,short,EURJPY,standard_00_50,short,stress
1768924800.0,1769061600.0,-1.3589,short,EURJPY,standard_00_50,short,stress
1769086800.0,1769108400.0,-1.4786,short,EURJPY,standard_00_50,short,stress
1769137200.0,1769148000.0,-1.5388,short,EURJPY,standard_00_50,short,stress
1769482800.0,1769497200.0,-1.3966,short,EURJPY,standard_00_50,short,stress
1769781600.0,1769990400.0,-1.3112,short,EURJPY,standard_00_50,short,stress
1770120000.0,1770134400.0,-1.5051,short,EURJPY,standard_00_50,short,stress
1770181200.0,1770192000.0,-1.472,short,EURJPY,standard_00_50,short,stress
1770390000.0,1770393600.0,-1.4712,short,EURJPY,standard_00_50,short,stress
1770681600.0,1770688800.0,2.073,short,EURJPY,standard_00_50,short,stress
1771408800.0,1771423200.0,-1.5222,short,EURJPY,standard_00_50,short,stress
1771426800.0,1771462800.0,-1.4714,short,EURJPY,standard_00_50,short,stress
1771578000.0,1771599600.0,-1.3922,short,EURJPY,standard_00_50,short,stress
1771920000.0,1772006400.0,-1.3347,short,EURJPY,standard_00_50,short,stress
1772175600.0,1772402400.0,2.0591,short,EURJPY,standard_00_50,short,stress
1772427600.0,1772434800.0,2.1439,short,EURJPY,standard_00_50,short,stress
1772715600.0,1772773200.0,-1.354,short,EURJPY,standard_00_50,short,stress
1773075600.0,1773093600.0,-1.342,short,EURJPY,standard_00_50,short,stress
1773194400.0,1773219600.0,1.8936,short,EURJPY,standard_00_50,short,stress
1773680400.0,1773738000.0,-1.4161,short,EURJPY,standard_00_50,short,stress
1773774000.0,1773817200.0,2.0008,short,EURJPY,standard_00_50,short,stress
1774004400.0,1774018800.0,-1.4928,short,EURJPY,standard_00_50,short,stress
1774353600.0,1774371600.0,-1.5038,short,EURJPY,standard_00_50,short,stress
1774627200.0,1774828800.0,1.9701,short,EURJPY,standard_00_50,short,stress
1774965600.0,1774972800.0,-1.4085,short,EURJPY,standard_00_50,short,stress
1775746800.0,1775761200.0,-1.5857,short,EURJPY,standard_00_50,short,stress
1775815200.0,1775826000.0,-1.7304,short,EURJPY,standard_00_50,short,stress
1776088800.0,1776092400.0,-1.6605,short,EURJPY,standard_00_50,short,stress
1776096000.0,1776103200.0,-1.6253,short,EURJPY,standard_00_50,short,stress
1776373200.0,1776384000.0,-1.8043,short,EURJPY,standard_00_50,short,stress
1776402000.0,1776412800.0,1.6441,short,EURJPY,standard_00_50,short,stress
1777269600.0,1777273200.0,-1.8872,short,EURJPY,standard_00_50,short,stress
1777276800.0,1777294800.0,-1.7704,short,EURJPY,standard_00_50,short,stress
1777399200.0,1777467600.0,-1.4817,short,EURJPY,standard_00_50,short,stress
1777532400.0,1777536000.0,2.0239,short,EURJPY,standard_00_50,short,stress
1777989600.0,1778022000.0,-1.5134,short,EURJPY,standard_00_50,short,stress
1778036400.0,1778040000.0,1.7666,short,EURJPY,standard_00_50,short,stress
1778234400.0,1778263200.0,-1.7726,short,EURJPY,standard_00_50,short,stress
1778486400.0,1778504400.0,-1.5189,short,EURJPY,standard_00_50,short,stress
1778562000.0,1778731200.0,1.9589,short,EURJPY,standard_00_50,short,stress
1779087600.0,1779105600.0,-1.5772,short,EURJPY,standard_00_50,short,stress
1779116400.0,1779120000.0,-1.6141,short,EURJPY,standard_00_50,short,stress
1779696000.0,1779778800.0,-1.8118,short,EURJPY,standard_00_50,short,stress
1779865200.0,1779868800.0,-2.0237,short,EURJPY,standard_00_50,short,stress
1779976800.0,1780012800.0,-1.5713,short,EURJPY,standard_00_50,short,stress
1780398000.0,1780401600.0,-2.0451,short,EURJPY,standard_00_50,short,stress
1781010000.0,1781053200.0,1.7901,short,EURJPY,standard_00_50,short,stress
1781096400.0,1781172000.0,1.9388,short,EURJPY,standard_00_50,short,stress
1781269200.0,1781474400.0,-1.5181,short,EURJPY,standard_00_50,short,stress
1781521200.0,1781571600.0,1.8336,short,EURJPY,standard_00_50,short,stress
1781600400.0,1781604000.0,-1.6322,short,EURJPY,standard_00_50,short,stress
1782378000.0,1782385200.0,1.8151,short,EURJPY,standard_00_50,short,stress
1783090800.0,1783292400.0,-1.5274,short,EURJPY,standard_00_50,short,stress
1720702800.0,1720706400.0,-1.1278,long,EURJPY,standard_00_50,long,base
1721890800.0,1721908800.0,2.3887,long,EURJPY,standard_00_50,long,base
1722002400.0,1722319200.0,2.3939,long,EURJPY,standard_00_50,long,base
1722376800.0,1722380400.0,-1.115,long,EURJPY,standard_00_50,long,base
1722394800.0,1722398400.0,-1.0755,long,EURJPY,standard_00_50,long,base
1722412800.0,1722434400.0,-1.0539,long,EURJPY,standard_00_50,long,base
1722837600.0,1722870000.0,2.4455,long,EURJPY,standard_00_50,long,base
1723071600.0,1723075200.0,-1.0964,long,EURJPY,standard_00_50,long,base
1724173200.0,1724191200.0,-1.1375,long,EURJPY,standard_00_50,long,base
1724626800.0,1724630400.0,-1.1411,long,EURJPY,standard_00_50,long,base
1724677200.0,1724742000.0,2.3581,long,EURJPY,standard_00_50,long,base
1724760000.0,1724796000.0,-1.1598,long,EURJPY,standard_00_50,long,base
1725336000.0,1725339600.0,-1.2285,long,EURJPY,standard_00_50,long,base
