side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1881.13,1786492806398,59.8,0.02657983919255307,съедена,4601,1.682,-3.4553790949565233,-2.817462954349814,-3.030101667885754,-3.4553790949565233,-3.5085387733391205,0.2657983919207574
1,1881.11,1786492806499,103.49,0.026580121789489507,съедена,4500,1.36,-3.349095345555053,-2.711172422593666,-2.9238133969144986,-3.349095345555053,-3.4022555891344286,0.3721217050633996
-1,1878.91,1786492806700,208.67,10.68625991536052,ушла,4299,0.651,2.3658635136003525,1.7278778470120049,1.9405397358751575,2.3658635136003525,2.4190289858150305,-1.355719541502598
-1,1878.88,1786492806700,91.81,10.845756332007548,ушла,4299,0.0,2.3658635136003525,1.7278778470120049,1.9405397358751575,2.3658635136003525,2.4190289858150305,-1.355719541502598
1,1881.08,1786492807599,61.86,0.930403183572414,съедена,3400,1.946,-2.286133536782975,-1.7013086785355735,-0.6379907544529217,-2.286133536782975,-2.339299432986275,1.4354791975135228
-1,1878.95,1786492808401,111.39,10.075258726794365,ушла,2598,0.045,1.9672009123550271,1.595027766773116,0.3190055533541791,1.9672009123550271,2.0203685045794284,-1.7545305434540914
-1,1879.39,1786492809599,79.88,7.417115725613265,ушла,1400,0.0,1.6482479390256266,1.2760629205343932,0.691200748621501,1.6482479390256266,1.701417227379931,-2.073602245873385
1,1883.33,1786492810999,58.72,11.668487375970937,ушла,199,0.0,-2.8706073726791903,-3.986954684273014,-2.5516509979350843,-2.8706073726791903,-3.5616795179505,0.10631879157951829
1,1883.33,1786492811697,58.72,11.668487375970937,ушла,103,0.0,-2.8706073726791903,-3.986954684273014,-2.5516509979350843,-2.8706073726791903,-1.8605788526626643,0.10631879157951829
-1,1880.17,1786492809698,82.9,3.26991123387193,ушла,2200,0.216,1.6482479390256266,1.5950786506679915,0.691200748621501,1.6482479390256266,1.701417227379931,-2.073602245873385
1,1883.24,1786492810898,63.29,11.669045663447372,ушла,1201,0.0,-2.3922872658566074,-3.5086879899193235,-2.0733156304064693,-2.3922872658566074,-3.0833924759898768,0.5847813316539607
-1,1881.13,1786492810999,69.72,0.0265796978957339,съедена,1100,0.996,2.8706073726791903,3.986954684273014,2.5516509979350843,2.8706073726791903,3.5616795179505,-0.10631879157951829
1,1883.33,1786492811999,58.72,11.668487375970937,ушла,100,0.0,-2.8706073726791903,-3.986954684273014,-2.5516509979350843,-2.8706073726791903,-1.2226661031766728,0.10631879157951829
1,1883.2,1786492810798,73.29,12.04188342499927,ушла,1401,0.0,-1.8076116399567965,-2.9240776528682844,-1.4886213505505008,-1.8076116399567965,-2.498757266996554,1.169631061148646
-1,1880.93,1786492810798,96.61,0.026582524116366413,съедена,1401,1.002,1.8076116399567965,2.9240776528682844,1.4886213505505008,1.8076116399567965,2.498757266996554,-1.169631061148646
1,1883.19,1786492810999,64.65,10.92425583490731,ушла,1200,0.0,-2.8706073726791903,-3.986954684273014,-2.5516509979350843,-2.8706073726791903,-3.5616795179505,0.10631879157951829
