strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,seasonality_kept
alt_trendline_touch_v1,SOLUSDT,long,1757124000000,1757180400000,204.35086200,200.18233776,0.14683569,-0.64772808,-0.005757,0.03563995,sl,att1_long_trendline tl=202.9708 slope=1.840%/d rsi=44.9+SL,1
alt_trendline_touch_v1,LTCUSDT,long,1757300400000,1757304000000,114.93298200,113.53764507,0.26107388,-0.40007466,-0.003565,0.03578863,sl,att1_long_trendline tl=114.3759 slope=1.938%/d rsi=50.6+SL,1
alt_trendline_touch_v1,SUIUSDT,long,1757300400000,1757323800000,3.40538094,3.44928647,8.81134902,0.35062763,0.003125,0.03623932,sl,att1_long_trendline tl=3.3794 slope=1.355%/d rsi=50.3+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,long,1757394000000,1757402400000,4.05271038,4.14793028,7.40393396,0.66857167,0.005941,0.03643020,sl,att1_long_trendline tl=4.0171 slope=0.843%/d rsi=50.8+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,long,1757397600000,1757398800000,3.48319650,3.53250928,8.61450108,0.38854289,0.003453,0.03626208,sl,att1_long_trendline tl=3.4775 slope=2.899%/d rsi=46.0+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1757415600000,1757433000000,113.56728200,111.70103640,0.26410776,0.45719287,0.004025,0.03569707,sl,att1_short_trendline tl=114.0391 slope=0.214%/d rsi=62.6+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,long,1757444400000,1757488500000,22.98859680,23.51920936,1.30525583,0.65616239,0.005754,0.03642275,sl,att1_long_trendline tl=22.8156 slope=-0.117%/d rsi=43.0+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,long,1757469600000,1757489700000,216.27324600,221.35701086,0.13874116,0.66889701,0.005866,0.03643040,sl,att1_long_trendline tl=214.6634 slope=2.066%/d rsi=47.0+TP1+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,short,1757480400000,1757511900000,4.11927598,4.19198829,7.28137667,-0.56575619,-0.004963,0.03631047,sl,att1_short_trendline tl=4.1469 slope=-1.331%/d rsi=52.0+SL,1
alt_trendline_touch_v1,SOLUSDT,long,1757563200000,1757593200000,224.06480400,227.55999617,0.13391661,0.43177626,0.003761,0.03628804,sl,att1_long_trendline tl=222.8608 slope=2.875%/d rsi=50.2+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1757660400000,1757697300000,115.96680200,117.47951647,0.25864299,-0.42748054,-0.003710,0.03622755,sl,att1_short_trendline tl=116.6287 slope=-0.948%/d rsi=65.0+SL,1
alt_trendline_touch_v1,ADAUSDT,long,1757797200000,1757812800000,0.92998596,0.91277789,32.26500323,-0.59089261,-0.005147,0.03567407,sl,att1_long_trendline tl=0.9263 slope=3.079%/d rsi=50.2+SL,0
alt_trendline_touch_v1,SUIUSDT,long,1757818800000,1757853600000,3.80936172,3.70711486,7.87691015,-0.84091332,-0.007363,0.03552397,sl,att1_long_trendline tl=3.7621 slope=1.515%/d rsi=41.3+SL,1
alt_trendline_touch_v1,LINKUSDT,short,1757833200000,1757850300000,24.71605580,24.38390884,1.21354314,0.36732371,0.003217,0.03575096,sl,att1_short_trendline tl=24.8071 slope=-3.106%/d rsi=53.5+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,short,1758063600000,1758083400000,23.58928120,23.25022793,1.27150971,0.39537539,0.003476,0.03573413,sl,att1_short_trendline tl=23.6766 slope=-0.732%/d rsi=46.8+TP1+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,long,1758088800000,1758140700000,4.20864156,4.30083017,7.12961643,0.62086789,0.005440,0.03640156,sl,att1_long_trendline tl=4.1716 slope=1.189%/d rsi=46.2+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,long,1758117600000,1758131700000,235.40707200,231.87374784,0.12746431,-0.48610970,-0.004260,0.03573698,sl,att1_long_trendline tl=233.9818 slope=1.261%/d rsi=44.0+SL,1
alt_trendline_touch_v1,LTCUSDT,short,1758358800000,1758449100000,114.22715000,115.84966530,0.26258206,-0.46229183,-0.004046,0.03624843,sl,att1_short_trendline tl=115.1500 slope=-2.521%/d rsi=53.7+SL,1
alt_trendline_touch_v1,ADAUSDT,short,1758420000000,1758447600000,0.89172162,0.87982065,33.63605785,0.36454906,0.003191,0.03575262,sl,att1_short_trendline tl=0.8960 slope=-1.831%/d rsi=45.1+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,short,1758420000000,1758471900000,23.30433820,23.04895813,1.28705650,0.29289299,0.002564,0.03579559,sl,att1_short_trendline tl=23.4500 slope=-0.798%/d rsi=51.2+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1758499200000,1758501600000,3.60727840,3.54799387,8.31485588,0.45724527,0.003995,0.03569703,sl,att1_short_trendline tl=3.6314 slope=-2.123%/d rsi=45.3+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1758636000000,1758659700000,218.86621800,214.45332373,0.13704262,0.56912465,0.004952,0.03562995,sl,att1_short_trendline tl=219.7785 slope=-1.849%/d rsi=46.3+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1758636000000,1758660000000,0.82053586,0.80850092,36.55416108,0.40419832,0.003518,0.03572884,sl,att1_short_trendline tl=0.8263 slope=-0.747%/d rsi=46.0+TRAIL_SL,1
alt_trendline_touch_v1,ETHUSDT,long,1758661200000,1758687000000,4175.05484400,4098.11932047,0.00718697,-0.58860885,-0.005079,0.03567544,sl,att1_long_trendline tl=4134.8753 slope=0.537%/d rsi=39.9+SL,0
alt_trendline_touch_v1,BTCUSDT,long,1758690000000,1758726300000,112134.82248000,113588.98044158,0.00026759,0.35287542,0.003060,0.03624067,sl,att1_long_trendline tl=111137.0706 slope=-0.403%/d rsi=43.7+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1758718800000,1758774300000,106.35872400,103.89439234,0.28200790,0.65938516,0.005719,0.03557582,sl,att1_short_trendline tl=107.5925 slope=0.382%/d rsi=50.9+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1758880800000,1758907500000,0.77164564,0.78855948,38.87017362,-0.69383135,-0.005965,0.03638727,sl,att1_short_trendline tl=0.7783 slope=-0.839%/d rsi=50.7+SL,1
alt_trendline_touch_v1,SUIUSDT,long,1758891600000,1758904200000,3.13782744,3.17813983,9.56266735,0.34925546,0.003003,0.03623850,sl,att1_long_trendline tl=3.1255 slope=2.231%/d rsi=50.8+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1758898800000,1758903000000,194.28113600,197.90570315,0.15438452,-0.59590561,-0.005125,0.03632855,sl,att1_short_trendline tl=194.6156 slope=-3.833%/d rsi=45.9+SL,1
alt_trendline_touch_v1,ADAUSDT,long,1759154400000,1759225800000,0.80636124,0.78499256,37.21161002,-0.83069318,-0.007200,0.03553010,sl,att1_long_trendline tl=0.7932 slope=2.320%/d rsi=48.4+SL,1
alt_trendline_touch_v1,LTCUSDT,long,1759154400000,1759240200000,106.48129200,104.99183931,0.28179598,-0.45547715,-0.003948,0.03575537,sl,att1_long_trendline tl=105.6862 slope=1.862%/d rsi=45.8+SL,1
alt_trendline_touch_v1,LINKUSDT,long,1759168800000,1759308900000,21.47329380,22.11261802,1.39736364,0.85682520,0.007428,0.03654322,sl,att1_long_trendline tl=21.1552 slope=2.648%/d rsi=49.9+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,long,1759518000000,1759566900000,22.57551420,21.90598760,1.30500241,-0.90856291,-0.007904,0.03482908,sl,att1_long_trendline tl=22.1966 slope=0.959%/d rsi=48.7+SL,1
alt_trendline_touch_v1,DOTUSDT,short,1759543200000,1759592400000,4.27314520,4.15489578,7.01918577,0.79451983,0.006913,0.03549479,sl,att1_short_trendline tl=4.3179 slope=-3.566%/d rsi=58.4+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1759600800000,1759615200000,3.52919402,3.58063620,8.49882433,-0.47345316,-0.004123,0.03625512,sl,att1_short_trendline tl=3.5460 slope=-2.959%/d rsi=46.8+SL,1
alt_trendline_touch_v1,LINKUSDT,short,1759626000000,1759631400000,21.93661180,22.26108916,1.36730322,-0.47991793,-0.004196,0.03625900,sl,att1_short_trendline tl=22.0846 slope=-1.083%/d rsi=57.6+SL,1
alt_trendline_touch_v1,DOTUSDT,long,1759741200000,1759756500000,4.18313646,4.27034967,7.17308658,0.58920533,0.005174,0.03638255,sl,att1_long_trendline tl=4.1509 slope=3.506%/d rsi=50.1+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1759932000000,1759932300000,221.25574000,224.11547347,0.13556258,-0.42389826,-0.003703,0.03622540,sl,att1_short_trendline tl=221.5721 slope=-1.608%/d rsi=55.0+SL,1
alt_trendline_touch_v1,SOLUSDT,short,1760072400000,1760110200000,221.06577800,214.10359216,0.13567907,0.90919690,0.007972,0.03542603,sl,att1_short_trendline tl=222.5779 slope=-2.644%/d rsi=51.3+TP1+TP2,1
alt_trendline_touch_v1,ETHUSDT,short,1760079600000,1760110200000,4325.19478800,4173.62351961,0.00693472,1.01574165,0.008908,0.03536214,sl,att1_short_trendline tl=4372.0346 slope=-1.702%/d rsi=59.0+TP1+TP2,1
alt_trendline_touch_v1,ADAUSDT,short,1760083200000,1760103300000,0.80983800,0.82173765,37.03703704,-0.47698494,-0.004184,0.03625724,sl,att1_short_trendline tl=0.8145 slope=-1.185%/d rsi=52.1+SL,1
alt_trendline_touch_v1,SOLUSDT,long,1760450400000,1760459100000,194.93898000,203.99426296,0.11218142,0.98898279,0.008563,0.02685174,sl,att1_long_trendline tl=191.5289 slope=0.885%/d rsi=21.5+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1760472000000,1760560800000,0.69376122,0.66230211,27.02883611,0.82831140,0.007111,0.02199169,sl,att1_short_trendline tl=0.7088 slope=-2.861%/d rsi=48.5+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,short,1760493600000,1760517000000,3.22575472,3.31777842,9.29828911,-0.89216919,-0.007661,0.03650620,sl,att1_short_trendline tl=3.2548 slope=-2.492%/d rsi=66.7+SL,1
alt_trendline_touch_v1,BTCUSDT,short,1760493600000,1760535600000,112655.36442000,111496.76886200,0.00026625,0.27266330,0.002341,0.03580772,sl,att1_short_trendline tl=112990.8940 slope=-1.637%/d rsi=64.4+TRAIL_SL,1
alt_trendline_touch_v1,ETHUSDT,short,1760526000000,1760535600000,4115.25678400,4077.02755667,0.00728849,0.24280765,0.002101,0.03582562,sl,att1_short_trendline tl=4126.4870 slope=-1.161%/d rsi=50.0+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1760623200000,1760630700000,2.66406708,2.58088653,11.19223355,0.89575455,0.007661,0.03522165,sl,att1_short_trendline tl=2.6960 slope=-1.464%/d rsi=47.5+TP1+TRAIL_SL,1
