pair,entry_day,exit_day,held_days,side,entry_z,exit_z,beta,ar1_phi,gross_bps,cost_bps,pnl_bps,reason
ADAUSDT/LINKUSDT,20392,20412,20,long_spread,-2.387506,-4.774467,0.572448,0.969265,-1132.546364,32.0,-1164.5463636688116,max_hold
AVAXUSDT/LTCUSDT,20392,20412,20,long_spread,-1.552889,-3.25451,1.042834,0.965701,-894.224118,32.0,-926.2241184686185,max_hold
AVAXUSDT/SOLUSDT,20392,20412,20,long_spread,-3.117527,-2.494903,0.978389,0.962963,271.690626,32.0,239.69062551224448,max_hold
AVAXUSDT/XRPUSDT,20392,20412,20,long_spread,-1.605751,-2.382458,0.800757,0.96825,-522.674463,32.0,-554.6744626600886,max_hold
DOGEUSDT/ETHUSDT,20392,20412,20,long_spread,-1.564006,-2.553117,0.377873,0.946481,-791.545707,32.0,-823.545706819913,max_hold
DOGEUSDT/SOLUSDT,20392,20412,20,long_spread,-1.939818,-1.201778,0.840544,0.945877,317.89046,32.0,285.8904597272844,max_hold
ONDOUSDT/TAOUSDT,20392,20412,20,long_spread,-2.719179,-4.448835,0.240062,0.972186,-1669.016071,32.0,-1701.0160708667925,max_hold
ONDOUSDT/XRPUSDT,20392,20412,20,long_spread,-2.728235,-4.841581,0.60376,0.955725,-1118.546759,32.0,-1150.5467592197915,max_hold
SUIUSDT/XRPUSDT,20392,20412,20,long_spread,-2.687684,-5.479758,0.577896,0.969956,-2063.931773,32.0,-2095.931773284298,max_hold
WIFUSDT/XRPUSDT,20392,20412,20,long_spread,-2.214552,-3.160156,0.4831,0.96449,-1333.207345,32.0,-1365.2073453167159,max_hold
BNBUSDT/SOLUSDT,20393,20413,20,short_spread,2.078591,3.215814,1.140567,0.978081,-685.922231,32.0,-717.9222309948846,max_hold
LTCUSDT/SUIUSDT,20393,20413,20,short_spread,1.728887,2.520283,0.524318,0.959373,-510.593151,32.0,-542.5931507256159,max_hold
1000PEPEUSDT/AVAXUSDT,20394,20414,20,long_spread,-1.982213,-3.931647,0.315014,0.977486,-2851.519829,32.0,-2883.51982914406,max_hold
ADAUSDT/BTCUSDT,20394,20414,20,long_spread,-1.530457,-1.164192,1.712897,0.979406,160.16539,32.0,128.16539025641958,max_hold
TAOUSDT/WIFUSDT,20394,20404,10,short_spread,2.751995,0.136895,0.124836,0.944127,2792.895327,32.0,2760.895327282927,z_exit
ADAUSDT/BNBUSDT,20395,20415,20,long_spread,-2.395393,-4.299255,0.212487,0.972395,-2205.806804,32.0,-2237.8068038125166,max_hold
AVAXUSDT/BTCUSDT,20395,20412,17,long_spread,-1.661227,-0.126465,1.944518,0.976228,732.952397,32.0,700.9523971417696,z_exit
DOGEUSDT/LINKUSDT,20395,20415,20,long_spread,-1.62779,-2.053888,0.535543,0.939486,-248.195969,32.0,-280.1959692646385,max_hold
DOGEUSDT/TAOUSDT,20395,20415,20,long_spread,-1.788772,-2.40412,0.120153,0.947727,-800.148258,32.0,-832.1482584594218,max_hold
ETHUSDT/XRPUSDT,20395,20415,20,short_spread,1.535663,0.949437,1.356881,0.967214,379.115817,32.0,347.1158169137136,max_hold
BTCUSDT/DOTUSDT,20396,20416,20,long_spread,-1.500882,-4.329023,0.052366,0.940619,-1290.463731,32.0,-1322.463730611672,max_hold
BTCUSDT/LINKUSDT,20396,20416,20,long_spread,-1.758652,-5.00224,0.1428,0.936488,-1064.724071,32.0,-1096.7240709233486,max_hold
BTCUSDT/SOLUSDT,20396,20416,20,long_spread,-1.625486,-4.643534,0.202198,0.947854,-969.730231,32.0,-1001.7302306775401,max_hold
BTCUSDT/XRPUSDT,20396,20416,20,long_spread,-1.659284,-7.126155,0.283239,0.892322,-1109.321047,32.0,-1141.3210466814699,max_hold
BTCUSDT/LTCUSDT,20398,20418,20,long_spread,-1.564783,-5.16983,0.297985,0.914526,-871.042381,32.0,-903.0423812161429,max_hold
ETHUSDT/LINKUSDT,20398,20418,20,short_spread,1.646117,1.663157,1.018054,0.953262,-8.150016,32.0,-40.150016119156945,max_hold
1000PEPEUSDT/DOTUSDT,20399,20419,20,long_spread,-2.993082,-1.090982,1.37322,0.970964,760.059798,32.0,728.0597977589063,max_hold
BTCUSDT/ETHUSDT,20399,20419,20,long_spread,-2.130442,-5.103956,0.141219,0.936612,-922.010429,32.0,-954.0104294678039,max_hold
DOGEUSDT/LTCUSDT,20399,20419,20,long_spread,-2.02614,-1.961866,1.004575,0.938428,25.907017,32.0,-6.0929825491009275,max_hold
DOTUSDT/SUIUSDT,20399,20419,20,short_spread,2.916193,1.707418,0.791703,0.922849,392.824905,32.0,360.82490451174795,max_hold
DOTUSDT/WIFUSDT,20399,20412,13,short_spread,1.581986,-0.113364,0.511409,0.921019,820.625931,32.0,788.6259311752095,z_exit
LTCUSDT/XRPUSDT,20399,20415,16,short_spread,2.030041,-0.058681,0.784774,0.874879,604.647204,32.0,572.647204320154,z_exit
1000PEPEUSDT/LINKUSDT,20400,20420,20,long_spread,-2.34605,-3.578664,0.009108,0.97839,-2698.792311,32.0,-2730.79231072938,max_hold
