ts,o,h,l,c,v
1614159300,1805.0250000000,1805.0300000000,1803.6300000000,1804.6905000000,0.71
1614159600,1804.7005000000,1805.7250000000,1804.2235000000,1805.4950000000,0.55
1614159900,1805.4850000000,1805.4850000000,1804.1050000000,1804.3135000000,0.53
1614160200,1804.3035000000,1804.3750000000,1803.1275000000,1803.9550000000,0.67
1614160500,1803.9350000000,1804.9850000000,1803.8150000000,1804.4400000000,0.52
1614160800,1804.4650000000,1805.5235000000,1804.1450000000,1804.9450000000,0.61
1614161100,1804.9550000000,1805.6450000000,1804.5950000000,1805.2650000000,0.43
1614161400,1805.2685000000,1806.4450000000,1805.1700000000,1805.6350000000,0.63
1614161700,1805.6250000000,1805.9050000000,1804.8900000000,1804.8900000000,0.48
1614162000,1804.8750000000,1805.1875000000,1804.5450000000,1804.8700000000,0.62
1614162300,1804.8550000000,1805.0200000000,1804.5000000000,1804.6850000000,0.39
1614162600,1804.7000000000,1807.6850000000,1804.6400000000,1807.5900000000,0.80
1614162900,1807.6000000000,1807.7475000000,1806.6850000000,1807.3035000000,0.58
1614163200,1807.3335000000,1808.8085000000,1807.3335000000,1808.3000000000,0.52
1614163500,1808.3350000000,1809.0250000000,1807.9550000000,1808.0100000000,0.42
1614163800,1808.0200000000,1808.1100000000,1807.3300000000,1807.5550000000,0.38
1614164100,1807.5450000000,1807.9050000000,1807.0200000000,1807.1950000000,0.36
1614164400,1807.1750000000,1807.9050000000,1806.8300000000,1807.0375000000,0.60
1614164700,1807.0475000000,1807.3900000000,1806.8125000000,1807.0700000000,0.69
1614165000,1807.0500000000,1807.8525000000,1806.8400000000,1807.8000000000,0.39
1614165300,1807.7950000000,1808.1285000000,1806.4950000000,1806.7450000000,0.47
1614165600,1806.7350000000,1809.2305000000,1806.5285000000,1809.1050000000,0.52
1614165900,1809.1200000000,1809.6900000000,1808.4525000000,1809.2150000000,0.53
1614166200,1809.2200000000,1809.4300000000,1808.6600000000,1809.2500000000,0.56
1614166500,1809.2600000000,1809.9225000000,1808.9675000000,1809.8350000000,0.51
1614166800,1809.8150000000,1809.8575000000,1808.5200000000,1809.0100000000,0.52
1614167100,1809.0000000000,1810.0290000000,1808.9350000000,1809.6275000000,0.48
1614167400,1809.6225000000,1809.8075000000,1808.1100000000,1808.6350000000,0.51
1614167700,1808.6450000000,1808.7775000000,1808.2700000000,1808.7200000000,0.50
1614168000,1808.7300000000,1810.1375000000,1808.3050000000,1809.7500000000,0.64
1614168300,1809.7400000000,1810.0625000000,1808.4050000000,1808.9750000000,0.56
1614168600,1808.9700000000,1809.5350000000,1808.5570000000,1808.9120000000,0.39
1614168900,1808.9020000000,1810.3275000000,1808.7715000000,1809.7800000000,0.56
1614169200,1809.8000000000,1810.0450000000,1809.0975000000,1809.8900000000,0.40
1614169500,1809.9150000000,1810.3325000000,1809.0825000000,1809.1425000000,0.51
1614169800,1809.1425000000,1809.7650000000,1808.4915000000,1808.7550000000,0.52
1614170100,1808.7600000000,1808.8215000000,1807.0600000000,1807.5175000000,0.51
1614170400,1807.5025000000,1808.1050000000,1807.2750000000,1807.9050000000,0.31
1614170700,1807.9250000000,1808.1250000000,1806.7665000000,1807.2750000000,0.46
1614171000,1807.2950000000,1807.7200000000,1806.9500000000,1807.4100000000,0.44
1614171300,1807.4250000000,1807.6350000000,1805.4000000000,1806.5850000000,0.68
1614171600,1806.5925000000,1808.3900000000,1806.5850000000,1807.8400000000,0.79
1614171900,1807.8550000000,1808.6800000000,1806.5650000000,1806.5930000000,0.73
1614172200,1806.5830000000,1806.5880000000,1804.0530000000,1804.2400000000,0.90
1614172500,1804.2700000000,1804.5750000000,1799.7955000000,1800.0250000000,1.16
1614172800,1799.9960000000,1801.2550000000,1799.6465000000,1800.7525000000,1.43
1614173100,1800.7600000000,1802.7835000000,1800.4525000000,1802.4550000000,0.98
1614173400,1802.4500000000,1802.9600000000,1799.6260000000,1801.9500000000,0.98
1614173700,1801.9750000000,1802.5200000000,1800.1510000000,1802.1320000000,0.73
1614174000,1802.1585000000,1802.3100000000,1797.2350000000,1798.1575000000,1.18
1614174300,1798.1025000000,1798.5495000000,1790.3225000000,1790.4115000000,1.68
1614174600,1790.4065000000,1794.8680000000,1789.3775000000,1791.1375000000,1.61
1614174900,1791.2140000000,1791.3850000000,1787.9250000000,1790.7450000000,1.59
1614175200,1790.7100000000,1793.2750000000,1788.9100000000,1792.9400000000,1.41
1614175500,1792.9300000000,1794.4285000000,1791.3350000000,1794.3450000000,1.34
1614175800,1794.3750000000,1794.3935000000,1791.2510000000,1794.3025000000,1.11
1614176100,1794.2550000000,1794.2700000000,1790.1375000000,1790.8900000000,1.11
1614176400,1790.8825000000,1791.5400000000,1789.2550000000,1791.2800000000,1.15
1614176700,1791.2750000000,1791.2800000000,1788.1800000000,1788.6800000000,1.19
1614177000,1788.6700000000,1788.6700000000,1785.6990000000,1786.0475000000,1.68
1614177300,1786.0450000000,1787.6000000000,1784.6325000000,1786.8275000000,1.86
1614177600,1786.7885000000,1791.2085000000,1785.4925000000,1789.0600000000,1.86
1614177900,1789.0550000000,1790.6945000000,1785.6600000000,1786.5265000000,1.57
1614178200,1786.5115000000,1787.2850000000,1784.7485000000,1786.8695000000,1.42
1614178500,1786.8850000000,1787.4645000000,1783.6375000000,1785.7290000000,1.32
1614178800,1785.7065000000,1788.3735000000,1783.8135000000,1788.2100000000,1.83
1614179100,1788.2250000000,1788.7585000000,1786.5100000000,1787.1050000000,1.55
1614179400,1787.0450000000,1788.9985000000,1785.7125000000,1788.5345000000,1.57
1614179700,1788.4895000000,1790.9325000000,1788.1545000000,1790.1450000000,1.39
1614180000,1790.2250000000,1793.6900000000,1789.8370000000,1793.4800000000,1.54
1614180300,1793.4950000000,1796.2365000000,1791.6315000000,1791.8750000000,1.47
1614180600,1791.8845000000,1791.9425000000,1789.0550000000,1789.7825000000,1.55
1614180900,1789.8600000000,1790.4475000000,1788.1950000000,1789.9550000000,1.40
1614181200,1789.9250000000,1791.4025000000,1789.0375000000,1790.4350000000,1.23
1614181500,1790.4400000000,1791.1850000000,1788.5815000000,1790.9765000000,1.27
1614181800,1790.9665000000,1792.6275000000,1790.3850000000,1792.4300000000,1.20
1614182100,1792.4250000000,1795.2415000000,1792.4225000000,1795.0950000000,1.22
1614182400,1795.0950000000,1795.7300000000,1792.9765000000,1793.1015000000,1.28
1614182700,1792.9600000000,1793.7565000000,1790.7075000000,1793.0565000000,1.16
1614183000,1793.0615000000,1795.6925000000,1792.5815000000,1794.2600000000,1.08
1614183300,1794.2600000000,1795.1725000000,1793.7715000000,1794.6175000000,0.96
1614183600,1794.6815000000,1797.6100000000,1794.4425000000,1797.3850000000,1.18
1614183900,1797.3700000000,1799.6175000000,1796.3015000000,1796.6445000000,1.29
1614184200,1796.6295000000,1799.4950000000,1796.4125000000,1799.1450000000,1.08
1614184500,1799.2100000000,1800.6850000000,1799.1350000000,1800.2250000000,1.01
1614184800,1800.2150000000,1800.3550000000,1797.5450000000,1797.6085000000,0.90
1614185100,1797.5835000000,1799.7600000000,1797.5700000000,1799.7000000000,0.87
1614185400,1799.6750000000,1800.7600000000,1799.1500000000,1800.6150000000,0.90
1614185700,1800.6350000000,1802.4395000000,1799.8925000000,1802.0925000000,0.88
1614186000,1802.1050000000,1804.5215000000,1801.3815000000,1801.3815000000,1.26
1614186300,1801.3475000000,1801.6000000000,1799.7950000000,1800.2675000000,1.09
1614186600,1800.2800000000,1801.5400000000,1799.8215000000,1800.3100000000,1.05
1614186900,1800.2400000000,1801.3500000000,1799.9550000000,1800.1500000000,0.61
1614187200,1800.1300000000,1801.8000000000,1799.9815000000,1801.6815000000,0.68
1614187500,1801.6915000000,1802.0800000000,1800.2250000000,1800.4275000000,0.59
1614187800,1800.4550000000,1800.9885000000,1799.6415000000,1800.6850000000,0.73
1614188100,1800.6800000000,1801.6000000000,1800.4175000000,1801.2825000000,0.66
1614188400,1801.2935000000,1801.4450000000,1800.2525000000,1800.3325000000,0.71
