trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
107,-23.7004,0.6332240761890613,0.5421,-0.2215,bos_short_rr1.0_sl1.0_h12_b0.1_cd20,4,1,1,0,4,0,-12.1252,0.3178
107,-23.7004,0.6305183568477668,0.5421,-0.2215,bos_short_rr1.0_sl1.0_h6_b0.1_cd20,4,1,1,0,4,0,-11.7554,0.3178
57,-24.5706,0.4755228634002024,0.2807,-0.4311,choch_long_rr2.0_sl1.0_h6_b0.2_cd20,4,0,1,0,4,1,-12.4575,0.3158
104,-25.2274,0.6263332597673636,0.4423,-0.2426,bos_long_rr1.5_sl1.0_h6_b0.1_cd20,4,0,1,0,4,0,-10.4474,0.3269
135,-25.2554,0.7512511117436572,0.3926,-0.1871,bos_short_rr2.0_sl1.0_h6_b0.1_cd10,4,1,1,0,4,1,-10.0188,0.3259
107,-25.4136,0.688422126374071,0.4579,-0.2375,bos_short_rr1.5_sl0.8_h12_b0.1_cd20,4,1,1,0,4,1,-14.4065,0.3178
61,-25.7077,0.5162424235581474,0.2951,-0.4214,choch_long_rr2.0_sl1.0_h12_b0.1_cd20,4,0,1,0,4,1,-15.5837,0.2951
129,-26.0452,0.7133035172748579,0.4419,-0.2019,bos_short_rr1.5_sl1.0_h6_b0.2_cd10,4,1,1,0,4,1,-11.5889,0.3178
107,-26.505,0.6750412558450889,0.4579,-0.2477,bos_short_rr1.5_sl0.8_h6_b0.1_cd20,4,1,1,0,4,1,-14.7857,0.3178
119,-26.5471,0.697966999147844,0.3782,-0.2231,bos_long_rr2.0_sl1.0_h12_b0.1_cd10,4,0,1,0,3,0,-10.334,0.3193
74,-26.9795,0.569377341294733,0.3108,-0.3646,choch_long_rr2.0_sl1.0_h12_b0.2_cd0,4,0,1,0,4,1,-14.6717,0.3378
120,-27.2508,0.6703338180392878,0.3917,-0.2271,bos_long_rr2.0_sl1.0_h6_b0.2_cd10,4,0,1,0,4,1,-10.758,0.3417
136,-27.2548,0.7169391188750182,0.4412,-0.2004,bos_short_rr1.5_sl1.0_h6_b0.1_cd10,4,1,1,0,4,1,-10.8622,0.3309
58,-27.2629,0.3783314787113722,0.4138,-0.4701,choch_long_rr1.0_sl1.0_h12_b0.2_cd20,4,0,1,0,4,1,-15.432,0.3103
57,-27.3013,0.4459603708032989,0.3333,-0.479,choch_long_rr1.5_sl1.0_h12_b0.2_cd20,4,0,1,0,4,1,-13.932,0.3158
63,-27.4601,0.511699780034533,0.2857,-0.4359,choch_long_rr2.0_sl1.0_h12_b0.2_cd5,4,0,1,0,4,1,-11.7852,0.3175
154,-27.5443,0.7576283669570741,0.4026,-0.1789,bos_short_rr2.0_sl1.0_h6_b0.2_cd5,4,1,1,0,4,1,-13.071,0.3182
113,-27.5899,0.6733280052097209,0.3717,-0.2442,bos_long_rr2.0_sl1.0_h12_b0.2_cd10,4,0,1,0,3,0,-10.7048,0.3274
61,-27.7209,0.4935036460341271,0.2787,-0.4544,choch_long_rr2.0_sl1.0_h12_b0.2_cd10,4,0,1,0,4,1,-13.4374,0.3115
75,-28.0204,0.5171444031252478,0.3067,-0.3736,choch_long_rr2.0_sl1.0_h6_b0.2_cd0,4,0,1,0,4,1,-13.3937,0.3333
95,-28.1074,0.581590668206881,0.3579,-0.2959,bos_long_rr2.0_sl1.0_h6_b0.2_cd20,4,0,1,0,4,1,-11.6248,0.3263
127,-28.1389,0.7012827086458363,0.4331,-0.2216,bos_short_rr1.5_sl1.0_h12_b0.2_cd10,4,1,1,0,4,0,-13.6983,0.315
104,-28.1936,0.5719207357346643,0.5192,-0.2711,bos_short_rr1.0_sl1.0_h12_b0.2_cd20,4,1,1,0,4,0,-12.3129,0.3077
58,-28.2879,0.34663790335805467,0.3793,-0.4877,choch_long_rr1.0_sl1.0_h6_b0.2_cd20,4,0,1,0,4,1,-16.2722,0.3103
99,-28.5528,0.5942936713177414,0.3939,-0.2884,bos_long_rr1.5_sl1.0_h12_b0.1_cd20,4,0,1,0,3,0,-17.0179,0.3131
62,-28.5598,0.46194394833419994,0.3387,-0.4606,choch_long_rr1.5_sl1.0_h12_b0.1_cd20,4,0,1,0,4,1,-16.308,0.2903
