trades,net_r,pf,win_rate,avg_r,tag,month
25,-8.8452,0.5622120043753063,0.4,-0.3538,bos_short_rr1.5_sl1.0_h12_b0.2_cd10,2026-04
53,-13.6983,0.6571181837523936,0.4151,-0.2585,bos_short_rr1.5_sl1.0_h12_b0.2_cd10,2026-05
47,-5.3081,0.8376980960156062,0.4681,-0.1129,bos_short_rr1.5_sl1.0_h12_b0.2_cd10,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.2_cd10,2026-07
20,-2.3603,0.8248554870402113,0.5,-0.118,bos_short_rr1.5_sl1.0_h12_b0.2_cd20,2026-04
42,-7.2413,0.7580288909754964,0.4524,-0.1724,bos_short_rr1.5_sl1.0_h12_b0.2_cd20,2026-05
39,-3.1953,0.8791010045592993,0.4872,-0.0819,bos_short_rr1.5_sl1.0_h12_b0.2_cd20,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.2_cd20,2026-07
29,-10.4175,0.5449025149951727,0.4138,-0.3592,bos_short_rr1.5_sl1.0_h12_b0.2_cd5,2026-04
63,-21.8107,0.5665169432574779,0.381,-0.3462,bos_short_rr1.5_sl1.0_h12_b0.2_cd5,2026-05
60,-5.2165,0.8704596305374068,0.4667,-0.0869,bos_short_rr1.5_sl1.0_h12_b0.2_cd5,2026-06
2,-0.2873,0.7854689366786142,0.5,-0.1436,bos_short_rr1.5_sl1.0_h12_b0.2_cd5,2026-07
54,-18.9954,0.5505079307235972,0.4074,-0.3518,bos_short_rr1.5_sl1.0_h6_b0.1_cd0,2026-04
93,-28.3242,0.5942609036956605,0.3978,-0.3046,bos_short_rr1.5_sl1.0_h6_b0.1_cd0,2026-05
99,-22.8412,0.6732032128560024,0.4343,-0.2307,bos_short_rr1.5_sl1.0_h6_b0.1_cd0,2026-06
5,1.7744,2.3249701314217446,0.8,0.3549,bos_short_rr1.5_sl1.0_h6_b0.1_cd0,2026-07
28,-7.6356,0.6400695763666617,0.4286,-0.2727,bos_short_rr1.5_sl1.0_h6_b0.1_cd10,2026-04
53,-10.8622,0.7023214770195425,0.434,-0.2049,bos_short_rr1.5_sl1.0_h6_b0.1_cd10,2026-05
