market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,short,1.5,0.8,12,0.2,10,129,-37.7257,0.6277975098166894,0.4341,4,1,0.3178,False,low_quality_pf_0.63<0.80
fx,bos,short,1.5,0.8,12,0.2,20,104,-32.6047,0.6069748295227844,0.4327,4,1,0.3077,False,low_quality_pf_0.61<0.80
fx,bos,short,1.5,1.0,6,0.1,0,251,-68.3864,0.6269195098798704,0.4223,4,1,0.3506,False,low_quality_pf_0.63<0.80
fx,bos,short,1.5,1.0,6,0.1,5,168,-41.6141,0.6576030792117008,0.4226,4,1,0.3333,False,low_quality_pf_0.66<0.80
fx,bos,short,1.5,1.0,6,0.1,10,136,-27.2548,0.7169391188750182,0.4412,4,1,0.3309,False,low_quality_pf_0.72<0.80
fx,bos,short,1.5,1.0,6,0.1,20,106,-6.1213,0.9087674899695359,0.5094,4,2,0.3113,True,ready_for_gate
fx,bos,short,1.5,1.0,6,0.2,0,239,-67.0794,0.6162191758250246,0.4142,4,1,0.3473,False,low_quality_pf_0.62<0.80
fx,bos,short,1.5,1.0,6,0.2,5,159,-41.3411,0.6414982097066937,0.4151,4,1,0.327,False,low_quality_pf_0.64<0.80
fx,bos,short,1.5,1.0,6,0.2,10,129,-26.0452,0.7133035172748579,0.4419,4,1,0.3178,False,low_quality_pf_0.71<0.80
fx,bos,short,1.5,1.0,6,0.2,20,103,-9.5146,0.8561856379111502,0.4951,4,2,0.301,True,ready_for_gate
fx,bos,short,1.5,1.0,12,0.1,0,246,-69.2994,0.6332121105623653,0.4024,4,1,0.3496,False,low_quality_pf_0.63<0.80
fx,bos,short,1.5,1.0,12,0.1,5,163,-40.4926,0.667853044457587,0.4172,4,1,0.3313,False,low_quality_pf_0.67<0.80
fx,bos,short,1.5,1.0,12,0.1,10,134,-29.1533,0.7059110731366305,0.4328,4,1,0.3284,False,low_quality_pf_0.71<0.80
fx,bos,short,1.5,1.0,12,0.1,20,106,-9.004,0.8733757101873206,0.4906,4,2,0.3113,True,ready_for_gate
fx,bos,short,1.5,1.0,12,0.2,0,234,-67.4295,0.6265034414226984,0.4017,4,1,0.3462,False,low_quality_pf_0.63<0.80
fx,bos,short,1.5,1.0,12,0.2,5,154,-37.732,0.6713646918238336,0.4221,4,1,0.3247,False,low_quality_pf_0.67<0.80
fx,bos,short,1.5,1.0,12,0.2,10,127,-28.1389,0.7012827086458363,0.4331,4,1,0.315,False,low_quality_pf_0.70<0.80
fx,bos,short,1.5,1.0,12,0.2,20,103,-13.0842,0.8161590416361652,0.4757,4,2,0.301,True,ready_for_gate
fx,bos,short,2.0,0.8,6,0.1,0,256,-78.0056,0.6397542376638539,0.375,4,1,0.3359,False,low_quality_pf_0.64<0.80
fx,bos,short,2.0,0.8,6,0.1,5,165,-47.1542,0.6596642415843872,0.3758,4,1,0.3333,False,low_quality_pf_0.66<0.80
fx,bos,short,2.0,0.8,6,0.1,10,137,-29.8289,0.7353167708697511,0.4015,4,1,0.3285,False,low_quality_pf_0.74<0.80
fx,bos,short,2.0,0.8,6,0.1,20,106,-10.2535,0.8727762047392988,0.4528,4,2,0.3113,True,ready_for_gate
fx,bos,short,2.0,0.8,6,0.2,0,244,-84.0369,0.6018725566182365,0.3607,4,1,0.3402,False,low_quality_pf_0.60<0.80
fx,bos,short,2.0,0.8,6,0.2,5,156,-52.3835,0.60974237863933,0.359,4,1,0.3269,False,low_quality_pf_0.61<0.80
fx,bos,short,2.0,0.8,6,0.2,10,129,-33.1915,0.6887600475606418,0.3953,4,1,0.3178,False,low_quality_pf_0.69<0.80
fx,bos,short,2.0,0.8,6,0.2,20,103,-19.5003,0.7627839250262758,0.4272,4,2,0.301,False,low_quality_pf_0.76<0.80
fx,bos,short,2.0,0.8,12,0.1,0,250,-77.8845,0.6469893164688462,0.352,4,1,0.336,False,low_quality_pf_0.65<0.80
fx,bos,short,2.0,0.8,12,0.1,5,159,-43.3038,0.6833577801599013,0.3648,4,1,0.327,False,low_quality_pf_0.68<0.80
fx,bos,short,2.0,0.8,12,0.1,10,136,-29.876,0.7397923634336677,0.3897,4,1,0.3309,False,low_quality_pf_0.74<0.80
fx,bos,short,2.0,0.8,12,0.1,20,106,-11.204,0.8664027473051606,0.434,4,2,0.3113,True,ready_for_gate
fx,bos,short,2.0,0.8,12,0.2,0,238,-80.5406,0.6219271245786377,0.3445,4,1,0.3403,False,low_quality_pf_0.62<0.80
fx,bos,short,2.0,0.8,12,0.2,5,151,-43.2125,0.6697930461109128,0.3642,4,1,0.3245,False,low_quality_pf_0.67<0.80
fx,bos,short,2.0,0.8,12,0.2,10,128,-29.4374,0.7287960391880114,0.3906,4,1,0.3203,False,low_quality_pf_0.73<0.80
fx,bos,short,2.0,0.8,12,0.2,20,103,-16.689,0.8022939540261474,0.4175,4,2,0.301,True,ready_for_gate
fx,bos,short,2.0,1.0,6,0.1,0,239,-57.84,0.6847073240133749,0.3808,4,1,0.3473,False,low_quality_pf_0.68<0.80
fx,bos,short,2.0,1.0,6,0.1,5,164,-33.7025,0.7269500558212036,0.3902,4,1,0.3293,False,low_quality_pf_0.73<0.80
fx,bos,short,2.0,1.0,6,0.1,10,135,-25.2554,0.7512511117436572,0.3926,4,1,0.3259,False,low_quality_pf_0.75<0.80
fx,bos,short,2.0,1.0,6,0.1,20,106,-3.09,0.9570858962589733,0.4623,4,2,0.3113,True,ready_for_gate
fx,bos,short,2.0,1.0,6,0.2,0,231,-62.3868,0.6518430551432098,0.368,4,1,0.3506,False,low_quality_pf_0.65<0.80
fx,bos,short,2.0,1.0,6,0.2,5,154,-27.5443,0.7576283669570741,0.4026,4,1,0.3182,False,low_quality_pf_0.76<0.80
fx,bos,short,2.0,1.0,6,0.2,10,127,-23.4182,0.7502295782053757,0.3858,4,1,0.315,False,low_quality_pf_0.75<0.80
fx,bos,short,2.0,1.0,6,0.2,20,103,-6.5124,0.9082180139271173,0.4466,4,2,0.301,True,ready_for_gate
fx,bos,short,2.0,1.0,12,0.1,0,227,-46.6466,0.7448427400143642,0.3744,4,1,0.348,False,low_quality_pf_0.74<0.80
fx,bos,short,2.0,1.0,12,0.1,5,155,-17.6555,0.8509551096763737,0.4129,4,1,0.329,True,ready_for_gate
fx,bos,short,2.0,1.0,12,0.1,10,132,-14.1851,0.8603333858453782,0.4091,4,1,0.3258,True,ready_for_gate
fx,bos,short,2.0,1.0,12,0.1,20,106,-3.6404,0.9529565619677501,0.4434,4,2,0.3113,True,ready_for_gate
